Name,Team,PS,GP,MinpG,FG%,FT%,3M,3PT%,3PTpG,PpG,ORpG,DRpG,RpG,ApG,SpG,BpG,TOpG,PFpG,Tech,+/-
"marshall, kendall",phi,PG,30,13.3,0.364,0.692,16,0.327,0.5,3.7,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1,0,-114
"martin, jarell",mem,PF,27,14.1,0.466,0.726,0,0,0,5.7,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,0,-39
"martin, kevin",san,SG,55,19.9,0.372,0.89,49,0.363,0.9,9.3,0.3,1.7,2,1.1,0.5,0.1,1,1.5,0,-113
"matthews, wesley",dal,SG,78,33.9,0.388,0.863,189,0.36,2.4,12.5,0.3,2.7,3.1,1.9,1,0.2,1,2.3,2,108
"mayo, o.j.",mil,SG,41,26.5,0.371,0.775,52,0.321,1.3,7.8,0.3,2.2,2.6,2.9,1.1,0.2,1.8,3.1,5,-42
"mbah_a_moute, luc",lac,SF,75,17,0.454,0.526,13,0.325,0.2,3.1,0.8,1.5,2.3,0.4,0.6,0.3,0.5,1.3,0,156
"mcadoo, james",gsw,SG,41,6.5,0.536,0.531,1,0.5,0,2.9,0.7,0.7,1.4,0.4,0.2,0.2,0.4,1,0,-85
"mccallum, ray",mem,PG,41,11.6,0.377,0.8,15,0.357,0.4,3.3,0.2,1,1.1,1.5,0.3,0.2,0.6,0.7,0,21
"mccollum, c.j.",por,SG,80,34.7,0.448,0.827,197,0.416,2.5,20.8,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,0,148
"mcconnell, t.j.",phi,PG,81,19.9,0.47,0.634,31,0.348,0.4,6.1,0.5,2.6,3.1,4.5,1.2,0.1,1.7,1.4,0,-288
"mccullough, chris",bro,PF,24,15.1,0.404,0.478,13,0.371,0.5,4.7,1,1.8,2.8,0.4,1.2,0.5,0.6,1.6,0,-120
"mcdaniels, k.j.",hou,SG,37,6.4,0.403,0.8,7,0.28,0.2,2.4,0.4,0.7,1.1,0.3,0.2,0.2,0.5,0.8,0,75
"mcdermott, doug",chi,SF,81,23,0.452,0.857,110,0.425,1.4,9.4,0.5,2,2.4,0.7,0.2,0.1,0.6,1.6,0,-66
"mcgary, mitch",okl,PF,20,3.7,0.478,0.4,0,0,0,1.3,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,0,-49
